time,open,high,low,close,PlotCandle (Open),PlotCandle (High,PlotCandle (Low),PlotCandle (Close),Plot
2009-06-03,4625.75,4631.25,4605.5,4624.25,,4631.25,4605.5,4624.25,4484.48625
2009-06-04,4622.5,4640.5,4620.5,4639.75,,4640.5,4620.5,4639.75,4482.205
2009-06-05,4639.5,4659.75,4625.25,4641.75,,4659.75,4625.25,4641.75,4480.055
2009-06-08,4638.5,4647,4613.5,4637.25,,4647,4613.5,4637.25,4477.89875
2009-06-09,4637,4656.25,4633.25,4647.5,,4656.25,4633.25,4647.5,4475.8375
2009-06-10,4647,4664.5,4620,4642.5,,4664.5,4620,4642.5,4473.64
2009-06-11,4641.25,4658.75,4635,4638.75,,4658.75,4635,4638.75,4471.59625
2009-06-12,4636,4644.25,4616.5,4633.25,,4644.25,4616.5,4633.25,4469.5425
2009-06-15,4629.5,4629.75,4591.5,4605.25,,4629.75,4591.5,4605.25,4467.2975
2009-06-16,4604.75,4616.25,4589.25,4592.25,,4616.25,4589.25,4592.25,4464.96875
2009-06-17,4591.75,4617.5,4585.75,4601.5,,4617.5,4585.75,4601.5,4462.83875
2009-06-18,4601,4610.75,4591,4597.5,,4610.75,4591,4597.5,4460.805
2009-06-19,4594.75,4624.75,4593.75,4612,,4624.75,4593.75,4612,4458.93125
2009-06-22,4611.75,4618.5,4569.25,4576,,4618.5,4569.25,4576,4457.17
2009-06-23,4575.75,4582.25,4560,4572,,4582.25,4560,4572,4455.4175
2009-06-24,4572.25,4605,4568,4595.25,,4605,4568,4595.25,4453.8275
2009-06-25,4594.25,4624.75,4580.75,4621,,4624.75,4580.75,4621,4452.52625
2009-06-26,4621.5,4630,4611.75,4624.75,,4630,4611.75,4624.75,4451.2
2009-06-29,4624,4640.5,4614.75,4629.5,,4640.5,4614.75,4629.5,4449.70875
2009-06-30,4629,4639.75,4613.75,4624.25,,4639.75,4613.75,4624.25,4448.20125
2009-07-01,4624.5,4644.25,4622.25,4626.75,,4644.25,4622.25,4626.75,4446.995
2009-07-02,4626.5,4627.25,4589.25,4593.25,,4627.25,4589.25,4593.25,4445.5625
2009-07-06,4590.75,4592.25,4570.25,4589,,4592.25,4570.25,4589,4444.53875
2009-07-07,4589,4594.75,4549.25,4556,,4594.75,4549.25,4556,4443.0425
2009-07-08,4556.25,4563.5,4540.5,4555,,4563.5,4540.5,4555,4441.38625
2009-07-09,4555,4569.25,4554.5,4561.5,,4569.25,4554.5,4561.5,4440.11125
2009-07-10,4561.75,4574.5,4550.75,4564,,4574.5,4550.75,4564,4438.945
2009-07-13,4566.5,4594.75,4547.5,4590.5,,4594.75,4547.5,4590.5,4437.80375
2009-07-14,4589.75,4601.25,4585.25,4594.75,,4601.25,4585.25,4594.75,4436.64375
2009-07-15,4610.5,4647.5,4610.25,4645.25,,4647.5,4610.25,4645.25,4435.7625
2009-07-16,4643.75,4668.25,4637,4660.75,,4668.25,4637,4660.75,4435.77
2009-07-17,4660.25,4677,4652.75,4676,,4677,4652.75,4676,4435.445
2009-07-20,4675.75,4692,4671.5,4688.5,,4692,4671.5,4688.5,4435.26
2009-07-21,4687.75,4703,4676.25,4702,,4703,4676.25,4702,4435.48375
2009-07-22,4700.25,4719.25,4692.75,4704.5,,4719.25,4692.75,4704.5,4435.885
2009-07-23,4705.75,4751.75,4703,4732,,4751.75,4703,4732,4436.77875
2009-07-24,4727.75,4748.25,4720,4745.25,,4748.25,4720,4745.25,4438.08875
2009-07-27,4745.25,4757,4726.5,4747.5,,4757,4726.5,4747.5,4439.4925
2009-07-28,4746.25,4756,4729.5,4749.5,,4756,4729.5,4749.5,4441.14625
2009-07-29,4749.25,4751.75,4731.75,4748.75,,4751.75,4731.75,4748.75,4442.74375
2009-07-30,4748.25,4780,4747,4754.75,,4780,4747,4754.75,4443.49125
2009-07-31,4753.5,4766.75,4746.5,4750,,4766.75,4746.5,4750,4444.6775
2009-08-03,4749.25,4776.25,4748.5,4774.75,,4776.25,4748.5,4774.75,4446.6725
2009-08-04,4773.5,4780.5,4760.75,4778.25,,4780.5,4760.75,4778.25,4448.215
2009-08-05,4778,4779.5,4750.5,4762.5,,4779.5,4750.5,4762.5,4449.73875
2009-08-06,4763.25,4772.5,4741.5,4749.25,,4772.5,4741.5,4749.25,4450.95125
2009-08-07,4748.25,4775.75,4743.25,4767.75,,4775.75,4743.25,4767.75,4452.59375
2009-08-10,4767,4767.75,4745.75,4760.5,,4767.75,4745.75,4760.5,4454.4225
2009-08-11,4759.75,4765.75,4733.75,4744.5,,4765.75,4733.75,4744.5,4456.14375
2009-08-12,4744.25,4781.75,4735.25,4766.75,,4781.75,4735.25,4766.75,4458.28625
2009-08-13,4767,4786.5,4758,4779.75,,4786.5,4758,4779.75,4460.64125
2009-08-14,4778.5,4782,4743,4763,,4782,4743,4763,4462.1825
2009-08-17,4760.25,4760.5,4709.25,4714.25,,4760.5,4709.25,4714.25,4463.55
2009-08-18,4714.5,4736.25,4711.75,4735,,4736.25,4711.75,4735,4464.76625
2009-08-19,4734,4748.5,4712.5,4746.75,,4748.5,4712.5,4746.75,4466.0825
2009-08-20,4746,4768.25,4739,4762,,4768.25,4739,4762,4467.45125
2009-08-21,4761.25,4787.75,4748,4783.5,,4787.75,4748,4783.5,4468.7325
2009-08-24,4783,4796.25,4776.75,4782,,4796.25,4776.75,4782,4470.3775
2009-08-25,4782,4803.5,4773.25,4784.5,,4803.5,4773.25,4784.5,4472.36375
2009-08-26,4784.5,4797.25,4775.5,4784.5,,4797.25,4775.5,4784.5,4474.11
2009-08-27,4785.25,4791.5,4758.5,4787,,4791.5,4758.5,4787,4476.02875
2009-08-28,4787,4816.5,4778.5,4790.5,,4816.5,4778.5,4790.5,4478.1325
2009-08-31,4789.25,4793,4763.75,4773,,4793,4763.75,4773,4480.44625
2009-09-01,4773,4797,4738.25,4743.5,,4797,4738.25,4743.5,4482.2575
2009-09-02,4743.25,4751,4733.25,4741,,4751,4733.25,4741,4484.45125
2009-09-03,4740.75,4756.5,4732.5,4752,,4756.5,4732.5,4752,4486.685
2009-09-04,4752.5,4788.5,4748.5,4783.75,,4788.5,4748.5,4783.75,4489
2009-09-08,4783.5,4804.75,4781.75,4803.25,,4804.75,4781.75,4803.25,4491.82
2009-09-09,4801.75,4825,4793,4814,,4825,4793,4814,4494.95875
2009-09-10,4814.5,4834.5,4809.75,4833,,4834.5,4809.75,4833,4497.935
2009-09-11,4831.25,4839,4822,4833.5,,4839,4822,4833.5,4500.63375
2009-09-14,4833,4841.5,4818,4837.75,,4841.5,4818,4837.75,4503.41125
2009-09-15,4838.25,4851.75,4829.5,4844.75,,4851.75,4829.5,4844.75,4505.92875
2009-09-16,4844.25,4873.25,4842.75,4867.5,,4873.25,4842.75,4867.5,4508.6025
2009-09-17,4867.25,4880.25,4862,4869.75,,4880.25,4862,4869.75,4511.745
2009-09-18,4870,4880.25,4862.5,4871,,4880.25,4862.5,4871,4514.70125
2009-09-21,4867,4883.5,4856.5,4877.5,,4883.5,4856.5,4877.5,4517.575
2009-09-22,4877.25,4891,4875.25,4884,,4891,4875.25,4884,4520.58625
2009-09-23,4883.25,4903,4870.5,4875.25,,4903,4870.5,4875.25,4523.33875
2009-09-24,4874,4886.5,4845.75,4849.25,,4886.5,4845.75,4849.25,4525.79125
2009-09-25,4848.75,4858.75,4838.5,4846.75,,4858.75,4838.5,4846.75,4528.20625
2009-09-28,4846.75,4882.25,4837.75,4872.5,,4882.25,4837.75,4872.5,4530.75
2009-09-29,4872.25,4880.5,4856.5,4865.25,,4880.5,4856.5,4865.25,4533.4
2009-09-30,4864.75,4879.75,4838.5,4867.25,,4879.75,4838.5,4867.25,4535.935
2009-10-01,4865.75,4876.5,4813.5,4820.25,,4876.5,4813.5,4820.25,4538.335
