time,open,high,low,close,PlotCandle (Open),PlotCandle (High,PlotCandle (Low),PlotCandle (Close),Plot
1999-06-01,6093,6148,6068,6125,,6148,6068,6125,
1999-07-01,6125.5,6288.5,6065,6093.5,,6288.5,6065,6093.5,
1999-08-02,6066,6277,5931.5,6195,,6277,5931.5,6195,
1999-09-01,6194.5,6363.5,6144.5,6209,,6363.5,6144.5,6209,
1999-10-01,6206,6441.5,6088,6425,,6441.5,6088,6425,
1999-11-01,6419.5,6934.5,6396,6741.5,,6934.5,6396,6741.5,
1999-12-01,6740.5,7530.5,6731,7480,,7530.5,6731,7480,
2000-01-03,7476,7664,6983,7338.5,,7664,6983,7338.5,
2000-02-01,7332.5,8042,7290,8027,,8042,7290,8027,
2000-03-01,8024,8551.5,7775.5,8125,,8551.5,7775.5,8125,
2000-04-03,8084.5,8084.5,6815.5,7477.5,,8084.5,6815.5,7477.5,6972.2775
2000-05-01,7475,7577.5,6570,6992.5,,7577.5,6570,6992.5,7082.625
2000-06-01,6991.5,7665.5,6991.5,7425,,7665.5,6991.5,7425,7213.715
2000-07-03,7409.5,7742.5,7072.5,7225,,7742.5,7072.5,7225,7333.9325
2000-08-01,7224,7703,6978,7702,,7703,6978,7702,7447.355
2000-09-01,7697.5,7794,7126.5,7167,,7794,7126.5,7167,7493.8625
2000-10-02,7167,7214,6524.5,6844,,7214,6524.5,6844,7440.01
2000-11-01,6845.5,6946,5981,6076,,6946,5981,6076,7327.0575
2000-12-01,6076.5,6541,5707,5870.5,,6541,5707,5870.5,7136.2675
2001-01-01,5871,6293,5626.5,6107,,6293,5626.5,6107,6940.2575
2001-02-01,6104.5,6143.5,5377,5409,,6143.5,5377,5409,6798.385
2001-03-01,5401.5,5532.5,5018,5061.5,,5532.5,5018,5061.5,6586.8675
2001-04-02,5074.5,5470.5,4834.5,5340,,5470.5,4834.5,5340,6356.905
2001-05-01,5335.5,5554,5237.5,5272,,5554,5237.5,5272,6136.76
2001-06-01,5272.5,5472.5,5113,5308,,5472.5,5113,5308,5902.915
2001-07-02,5301,5335,5041.5,5146,,5335,5041.5,5146,5699.315
2001-08-01,5144,5232.5,4890,4925.5,,5232.5,4890,4925.5,5501.4525
2001-09-03,4927,4976,4542,4620,,4976,4542,4620,5374.3675
2001-10-01,4616,4938,4581,4814,,4938,4581,4814,5233.4275
2001-11-01,4809.5,5093,4805.5,5043,,5093,4805.5,5043,5121.6825
