time,open,high,low,close,PlotCandle (Open),PlotCandle (High,PlotCandle (Low),PlotCandle (Close),Plot
1999-06-28,6093,6156.5,6068,6147,,6156.5,6068,6147,
1999-07-05,6183,6209.5,6140.5,6197.5,,6209.5,6140.5,6197.5,
1999-07-12,6222.5,6288.5,6172,6283.5,,6288.5,6172,6283.5,
1999-07-19,6275,6288.5,6083,6102.5,,6288.5,6083,6102.5,
1999-07-26,6080.5,6152.5,6065,6093.5,,6152.5,6065,6093.5,
1999-08-02,6066,6124.5,5964,6024,,6124.5,5964,6024,
1999-08-09,6035.5,6102,5931.5,6097,,6102,5931.5,6097,
1999-08-16,6117.5,6163,6077.5,6107.5,,6163,6077.5,6107.5,
1999-08-23,6136.5,6277,6135,6204.5,,6277,6135,6204.5,
1999-08-30,6204.5,6312.5,6132,6312.5,,6312.5,6132,6312.5,
1999-09-06,6330.5,6363.5,6253.5,6336.5,,6363.5,6253.5,6336.5,
1999-09-13,6339.5,6349.5,6212,6338,,6349.5,6212,6338,
1999-09-20,6354.5,6357.5,6144.5,6195.5,,6357.5,6144.5,6195.5,
1999-09-27,6196.5,6256,6149,6201,,6256,6149,6201,
1999-10-04,6201,6368.5,6194,6347.5,,6368.5,6194,6347.5,
1999-10-11,6347.5,6386.5,6174.5,6185.5,,6386.5,6174.5,6185.5,
1999-10-18,6176,6316.5,6088,6266,,6316.5,6088,6266,
1999-10-25,6267,6441.5,6207.5,6425,,6441.5,6207.5,6425,
1999-11-01,6419.5,6553.5,6396,6553.5,,6553.5,6396,6553.5,
1999-11-08,6520,6679.5,6510,6674.5,,6679.5,6510,6674.5,
1999-11-15,6678,6818.5,6653,6813,,6818.5,6653,6813,
1999-11-22,6821.5,6934.5,6752,6890.5,,6934.5,6752,6890.5,
1999-11-29,6893.5,6988,6731,6943.5,,6988,6731,6943.5,
1999-12-06,6944,6998.5,6874.5,6976.5,,6998.5,6874.5,6976.5,
1999-12-13,6982.5,7184.5,6895,7139.5,,7184.5,6895,7139.5,
1999-12-20,7165,7408,7157.5,7362,,7408,7157.5,7362,
1999-12-27,7361.5,7530.5,7292,7480,,7530.5,7292,7480,
2000-01-03,7476,7621,6983,7288,,7621,6983,7288,
2000-01-10,7287,7530.5,7202,7478.5,,7530.5,7202,7478.5,
2000-01-17,7469,7640,7395.5,7619,,7640,7395.5,7619,
2000-01-24,7617.5,7664,7135,7201,,7664,7135,7201,
2000-01-31,7188,7686,7097,7632.5,,7686,7097,7632.5,
2000-02-07,7632.5,7870,7601.5,7718.5,,7870,7601.5,7718.5,
2000-02-14,7709.5,7872,7587,7694,,7872,7587,7694,
2000-02-21,7680.5,8042,7591.5,7920,,8042,7591.5,7920,
2000-02-28,7908.5,8184,7755,8180.5,,8184,7755,8180.5,
2000-03-06,8173,8394,7998,8331,,8394,7998,8331,
2000-03-13,8316,8323,7775.5,8184,,8323,7775.5,8184,
2000-03-20,8175,8551.5,7882.5,8471.5,,8551.5,7882.5,8471.5,
2000-03-27,8454.5,8517.5,7879,8125,,8517.5,7879,8125,
2000-04-03,8084.5,8084.5,7405.84,8004.5,,8084.5,7405.84,8004.5,
2000-04-10,7699.16,7768,6815.5,6885,,7768,6815.5,6885,6923.1575
2000-04-17,6917.34,7448.5,6917.34,7202.5,,7448.5,6917.34,7202.5,6945.525
2000-04-24,7156,7494,6890.5,7477.5,,7494,6890.5,7477.5,6972.2775
2000-05-01,7475,7577.5,7119.5,7362.5,,7577.5,7119.5,7362.5,7001.0375
2000-05-08,7349.5,7360.5,6861.5,7085,,7360.5,6861.5,7085,7025.4575
2000-05-15,7077.5,7351,6933.5,6947.5,,7351,6933.5,6947.5,7053.2475
2000-05-22,6943.5,7007.66,6570,6797.5,,7007.66,6570,6797.5,7073.2375
2000-05-29,6791,7443,6790.5,7419,,7443,6790.5,7419,7094.335
2000-06-05,7419.5,7507.5,7272.5,7422,,7507.5,7272.5,7422,7124.98
2000-06-12,7412.5,7506,7252,7435.5,,7506,7252,7435.5,7154.865
