time,open,high,low,close,PlotCandle (Open),PlotCandle (High,PlotCandle (Low),PlotCandle (Close),Plot
2025-07-31T22:00:00-04:00,24028.75,24046.25,24020.75,24038.75,,24046.25,24020.75,24038.75,22167.56875
2025-07-31T23:00:00-04:00,24039.25,24048.75,24008.5,24010.75,,24048.75,24008.5,24010.75,22167.56875
2025-08-01T00:00:00-04:00,24010.75,24027.75,24001.5,24024.75,,24027.75,24001.5,24024.75,22167.56875
2025-08-01T01:00:00-04:00,24024,24031.25,23996.5,23999,,24031.25,23996.5,23999,22167.56875
2025-08-01T02:00:00-04:00,23998.5,24002.75,23961.75,23976,,24002.75,23961.75,23976,22167.56875
2025-08-01T03:00:00-04:00,23975,23984.75,23833.5,23875.75,,23984.75,23833.5,23875.75,22167.56875
2025-08-01T04:00:00-04:00,23876,23878.75,23768.75,23820.25,,23878.75,23768.75,23820.25,22167.56875
2025-08-01T05:00:00-04:00,23820,23846.5,23792,23834,,23846.5,23792,23834,22167.56875
2025-08-01T06:00:00-04:00,23833,23833.75,23737.75,23761,,23833.75,23737.75,23761,22167.56875
2025-08-01T07:00:00-04:00,23762,23835.75,23757.75,23832.25,,23835.75,23757.75,23832.25,22167.56875
2025-08-01T08:00:00-04:00,23832,23873.75,23765.75,23774.5,,23873.75,23765.75,23774.5,22167.56875
2025-08-01T09:00:00-04:00,23774.75,23808.5,23564.25,23589.25,,23808.5,23564.25,23589.25,22167.56875
2025-08-01T10:00:00-04:00,23586.25,23729,23506.25,23636,,23729,23506.25,23636,22167.56875
2025-08-01T11:00:00-04:00,23636,23725,23602.25,23713.25,,23725,23602.25,23713.25,22167.56875
2025-08-01T12:00:00-04:00,23712.5,23751.75,23579,23585.25,,23751.75,23579,23585.25,22167.56875
2025-08-01T13:00:00-04:00,23585.25,23606,23533.5,23551.25,,23606,23533.5,23551.25,22167.56875
2025-08-01T14:00:00-04:00,23551,23649,23481.25,23576.5,,23649,23481.25,23576.5,22167.56875
2025-08-01T15:00:00-04:00,23576.5,23650.75,23542.5,23586.75,,23650.75,23542.5,23586.75,22167.56875
2025-08-01T16:00:00-04:00,23587.25,23600.5,23573.75,23576.25,,23600.5,23573.75,23576.25,22175.14375
2025-08-03T18:00:00-04:00,23556.25,23622,23528,23615,,23622,23528,23615,22175.14375
2025-08-03T19:00:00-04:00,23615.75,23637.75,23588,23633.5,,23637.75,23588,23633.5,22175.14375
2025-08-03T20:00:00-04:00,23633.75,23670,23622.75,23662.25,,23670,23622.75,23662.25,22175.14375
2025-08-03T21:00:00-04:00,23662.25,23679.25,23638,23665.25,,23679.25,23638,23665.25,22175.14375
2025-08-03T22:00:00-04:00,23664.75,23688.5,23656.25,23684.75,,23688.5,23656.25,23684.75,22175.14375
2025-08-03T23:00:00-04:00,23685.25,23694.75,23672.5,23693.75,,23694.75,23672.5,23693.75,22175.14375
2025-08-04T00:00:00-04:00,23693.25,23694,23658.75,23676.25,,23694,23658.75,23676.25,22175.14375
2025-08-04T01:00:00-04:00,23676.25,23702.25,23667.5,23689.25,,23702.25,23667.5,23689.25,22175.14375
2025-08-04T02:00:00-04:00,23689.5,23706.75,23653.75,23697,,23706.75,23653.75,23697,22175.14375
2025-08-04T03:00:00-04:00,23697.5,23751,23684.5,23717.5,,23751,23684.5,23717.5,22175.14375
2025-08-04T04:00:00-04:00,23717.5,23769.5,23712.25,23767,,23769.5,23712.25,23767,22175.14375
2025-08-04T05:00:00-04:00,23766.5,23783.75,23760.25,23761.5,,23783.75,23760.25,23761.5,22175.14375
2025-08-04T06:00:00-04:00,23761.25,23784.25,23758.5,23768,,23784.25,23758.5,23768,22175.14375
2025-08-04T07:00:00-04:00,23768.5,23782.25,23737.75,23751,,23782.25,23737.75,23751,22175.14375
2025-08-04T08:00:00-04:00,23751.75,23788,23743,23782.25,,23788,23743,23782.25,22175.14375
2025-08-04T09:00:00-04:00,23781.75,23964,23776.75,23952.25,,23964,23776.75,23952.25,22175.14375
2025-08-04T10:00:00-04:00,23953,23970.5,23900.25,23921.25,,23970.5,23900.25,23921.25,22175.14375
2025-08-04T11:00:00-04:00,23921.25,23969.75,23894,23960.25,,23969.75,23894,23960.25,22175.14375
2025-08-04T12:00:00-04:00,23960.5,23985.75,23954.25,23976.75,,23985.75,23954.25,23976.75,22175.14375
2025-08-04T13:00:00-04:00,23976.25,23991.5,23947.5,23974.25,,23991.5,23947.5,23974.25,22175.14375
2025-08-04T14:00:00-04:00,23974.5,23990,23962,23967.75,,23990,23962,23967.75,22175.14375
2025-08-04T15:00:00-04:00,23967.25,24013.5,23959.5,24003,,24013.5,23959.5,24003,22175.14375
2025-08-04T16:00:00-04:00,24003.5,24058.75,23991.25,24057,,24058.75,23991.25,24057,22186.64875
2025-08-04T18:00:00-04:00,24060.25,24066.25,24022.5,24033,,24066.25,24022.5,24033,22186.64875
2025-08-04T19:00:00-04:00,24033.5,24055.75,24021,24041,,24055.75,24021,24041,22186.64875
2025-08-04T20:00:00-04:00,24040.25,24080.75,24020,24053.5,,24080.75,24020,24053.5,22186.64875
2025-08-04T21:00:00-04:00,24052.75,24078.75,24041.25,24047,,24078.75,24041.25,24047,22186.64875
2025-08-04T22:00:00-04:00,24046.5,24054.25,24038.5,24046.5,,24054.25,24038.5,24046.5,22186.64875
2025-08-04T23:00:00-04:00,24047.25,24063.5,24031.25,24048.75,,24063.5,24031.25,24048.75,22186.64875
2025-08-05T00:00:00-04:00,24048.25,24066,24043.25,24065.25,,24066,24043.25,24065.25,22186.64875
2025-08-05T01:00:00-04:00,24065.75,24073.75,24057.5,24069,,24073.75,24057.5,24069,22186.64875
2025-08-05T02:00:00-04:00,24069.75,24100.75,24062.25,24091.75,,24100.75,24062.25,24091.75,22186.64875
2025-08-05T03:00:00-04:00,24092.25,24103.5,24029.75,24036,,24103.5,24029.75,24036,22186.64875
2025-08-05T04:00:00-04:00,24036.75,24049.25,24018.75,24037.5,,24049.25,24018.75,24037.5,22186.64875
2025-08-05T05:00:00-04:00,24038.25,24056.5,24032.25,24054.75,,24056.5,24032.25,24054.75,22186.64875
2025-08-05T06:00:00-04:00,24054.75,24099,24051,24092,,24099,24051,24092,22186.64875
2025-08-05T07:00:00-04:00,24091,24102.5,24068.25,24090.25,,24102.5,24068.25,24090.25,22186.64875
2025-08-05T08:00:00-04:00,24090,24110.5,24049.25,24066.75,,24110.5,24049.25,24066.75,22186.64875
2025-08-05T09:00:00-04:00,24067,24103.5,24009.75,24080.5,,24103.5,24009.75,24080.5,22186.64875
2025-08-05T10:00:00-04:00,24080.75,24080.75,23844.5,23887.5,,24080.75,23844.5,23887.5,22186.64875
2025-08-05T11:00:00-04:00,23887.25,23926,23819.75,23862.5,,23926,23819.75,23862.5,22186.64875
2025-08-05T12:00:00-04:00,23862,23931.5,23843.25,23886.75,,23931.5,23843.25,23886.75,22186.64875
